2025-12-26 22:57:23 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/12/202512021210306166199.zip
2025-12-26 22:57:23 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行行业深度报告：零售金融业务有哪些变化（16页）
2025-12-26 22:57:23 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/12/202512021142562698805.zip
2025-12-26 22:57:23 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 2025年金融消费趋势洞察研究报告（33页）
2025-12-26 22:57:23 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511211413215271885.zip
2025-12-26 22:57:23 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 险企FVOCI投资专题分析报告（29页）
2025-12-26 22:57:23 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511211403391699342.zip
2025-12-26 22:57:23 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 存款非银化对流动性风险指标的影响与测算研究报告（18页）
2025-12-26 22:57:23 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511201509095542422.zip
2025-12-26 22:57:23 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 商业健康保险行业报告：健康险有望迎来新的机遇期（22页）
2025-12-26 22:57:23 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511201525058933142.zip
2025-12-26 22:57:23 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 公募基金行业专题报告：细读“比较基准”新规（13页）
2025-12-26 22:57:24 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511121335559402063.zip
2025-12-26 22:57:24 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国金融生成式AI多模态内容鉴伪与安全防御报告（67页）
2025-12-26 22:57:24 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511111336138344559.zip
2025-12-26 22:57:24 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 金融脱媒背景下商业银行的挑战与应对研究报告：基于中美比较的转型路径（11页）
2025-12-26 22:57:24 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511111014431832761.zip
2025-12-26 22:57:24 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业报告：中国个险渠道三十年（33页）
2025-12-26 22:57:24 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/11/202511111001127340534.zip
2025-12-26 22:57:24 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业专题报告：资负两端基本面改善趋势明确（23页）
2025-12-26 22:57:24 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/10/202510160959226873013.zip
2025-12-26 22:57:24 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 租赁行业报告：研究框架（64页）
2025-12-26 22:57:24 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/10/202510160954406619198.zip
